Plan Or Actual,Region,STP,ISP_Site,Activity_Type_1,Activity_Type_2,Activity_Type_3,POD,Specialty_(TFC),Diagnostic_Modality,How_will_this_activity_be_delivered?,Please_provide_details_of_your_plan_for_service_delivery ,Further_Detail,NHS_Referring_Trust,Week Commencing Date,Activity Count,Postcode,Lat,Lon,Week Index
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Cancer,Complex,Elective,104: Colorectal surgery,,Service will be staffed by NHS medical staff,Maybe some day cases,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,3,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Routine,Elective,191: Pain management,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,0,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Cancer,Complex,Elective,160: Plastic surgery,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,3,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Cancer,Complex,Elective,173: Thoracic surgery,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,6,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Non-Cancer,Complex,Elective,102: Transplantation surgery,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,2,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Cancer,Complex,Elective,106: Upper gastrointestinal surgery,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,5,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Cancer,Complex,Elective,101: Urology,,Service will be staffed by NHS medical staff,Some of the activity requires access to 7.5 robotic all day theatre lists a week ,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,16,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Non-Cancer,Complex,Elective,107: Vascular surgery,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,2,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Cancer,Routine,Diagnostics,301: Gastroenterology,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,18,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,ENDOSCOPY - UPPER GI,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,16,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Chelsfield (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,ENDOSCOPY - UPPER GI,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,16,BR6 7RG,51.3584,0.13081,2
Plan,London,Our_Healthier_South_East_London_STP,West Valley (Ramsay Health UK),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,ENDOSCOPY - UPPER GI,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,21,CR0 2RD,51.37855,-0.10203,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,COMPUTERISED TOMOGRAPHY (CT),,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,30,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,35,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,X-RAY,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,20,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,X-RAY - DEXASCAN,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,20,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,ULTRASOUND,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,15,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,ECHO,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,30,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Chelsfield (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,ULTRASOUND,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,10,BR6 7RG,51.3584,0.13081,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,103: Breast surgery,MAGNETIC RESONANCE IMAGING (MRI),Service will be staffed by NHS medical staff,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,4,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,MAGNETIC RESONANCE IMAGING (MRI),Service will be staffed by NHS medical staff,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,7,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,400: Neurology,MAGNETIC RESONANCE IMAGING (MRI),Service will be staffed by NHS medical staff,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,0,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),Service will be wholly staffed by independent sector staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,117,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),Service will be wholly staffed by independent sector staff,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,18,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,ECHO,Service will be staffed by NHS medical staff,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,0,SE1 2PR,51.50631,-0.08591,2
Plan,London,North_London_Partners_In_Health_and_Care_STP,Harley Street on 15 (HCA UK),Routine,Non-Cancer,Routine,Elective,Oth: Other,,,,No Plan,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,17/08/2020,0,NW1 2BU,51.52486,-0.13701,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The London Clinic (The London Clinic),Routine,Non-Cancer,Complex,Daycase,361: Nephrology,,,as per previously submitted plan,Submitted by London Renal Network,ROYAL FREE LONDON NHS FOUNDATION TRUST,17/08/2020,4,W1G 6BW,51.52302,-0.15008,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The London Clinic (The London Clinic),Routine,Non-Cancer,Complex,Elective,102: Transplantation surgery,,,as per previously submitted plan,Submitted by London Renal Network,ROYAL FREE LONDON NHS FOUNDATION TRUST,17/08/2020,0,W1G 6BW,51.52302,-0.15008,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bishopswood (BMI Healthcare),Other,Non-Cancer,Combination,Daycase,101: Urology,,Service will be staffed by NHS medical staff,THHFT to provide surgeons only. ISP anaethetists required,"Maintain current activity level; Mixed activity - urgent, routine and diagnostics. ",THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,17/08/2020,10,HA6 2JW,51.61646,-0.44651,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bishopswood (BMI Healthcare),Other,Non-Cancer,Combination,Daycase,502: Gynaecology,,Service will be staffed by NHS medical staff,THHFT to provide surgeons only. ISP anaethetists required,"Current levels +1 additional session,  Mixed activity - urgent, routine and diagnostic procedures. ",THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,17/08/2020,10,HA6 2JW,51.61646,-0.44651,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bishopswood (BMI Healthcare),Other,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),Service will be wholly staffed by independent sector staff,3 additional days if ISP staff available,Current levels + 3 additional days; mixed activity,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,17/08/2020,50,HA6 2JW,51.61646,-0.44651,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bishopswood (BMI Healthcare),Urgent,Cancer,Complex,Diagnostics,812: Diagnostic imaging,X-RAY - MAMMOGRAPHY,Service will be wholly staffed by independent sector staff,,Maintain current activity level,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,17/08/2020,20,HA6 2JW,51.61646,-0.44651,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bupa Cromwell Hospital (Bupa Group),Routine,Non-Cancer,Routine,Diagnostics,340: Respiratory medicine,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be wholly staffed by independent sector staff,,Lung Function testing,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,20,SW5 0TU,51.49494,-0.19146,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bupa Cromwell Hospital (Bupa Group),Urgent,Unknown,Combination,Elective,100: General surgery,,Service will be staffed by NHS medical staff,1 list per week - Endocrine Surgery patients having a parathyroidectomy.,1 list per week,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,2,SW5 0TU,51.49494,-0.19146,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bupa Cromwell Hospital (Bupa Group),Routine,Non-Cancer,Complex,Daycase,107: Vascular surgery,,Service will be staffed by NHS medical staff,"1 list per week - Varicose Vein patients, theatre nursing staff required but no anaesthetist",Explore with IS provider whether possible to undertake in a procedure room.,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,0,SW5 0TU,51.49494,-0.19146,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bupa Cromwell Hospital (Bupa Group),Urgent,Cancer,Complex,Elective,104: Colorectal surgery,,Service will be staffed by NHS medical staff,THHFT to provide surgeons only. ISP anaethetists required,Reduction compared to current activity level; 2 lists down to 1,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,17/08/2020,1,SW5 0TU,51.49494,-0.19146,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bupa Cromwell Hospital (Bupa Group),Urgent,Cancer,Complex,Daycase,103: Breast surgery,,,Activity will cease from Sept,Activity will cease from Sept as being 'repatriated' locally,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,17/08/2020,0,SW5 0TU,51.49494,-0.19146,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Bupa Cromwell Hospital (Bupa Group),Urgent,Cancer,Routine,Diagnostics,812: Diagnostic imaging,ENDOSCOPY - LOWER GI,Service will be staffed by NHS medical staff,THHFT to provide endoscopists. ISP nurses required,"Unable to provide staff, so reluctantly unable to make use.",THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,17/08/2020,0,SW5 0TU,51.49494,-0.19146,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),Routine,Non-Cancer,Routine,Elective,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,Detailed under SOP ,,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,15,NW8 9NH,51.53347,-0.17546,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),Routine,Non-Cancer,Routine,Daycase,361: Nephrology,,Service will be staffed by NHS medical staff,"Surgeon and Physician and lead nurse provided by NHS, Anaesthetist Theatre and Ward staff provided by ISP.",,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,2,NW8 9NH,51.53347,-0.17546,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),Routine,Non-Cancer,Routine,Daycase,130: Ophthalmology,,Service will be wholly staffed by independent sector staff,Detailed under SOP ,,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,10,NW8 9NH,51.53347,-0.17546,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),Routine,Non-Cancer,Routine,Elective,100: General surgery,,Service will be wholly staffed by independent sector staff,"2 lists per week. Note: NHS will provide surgical staff, but IS will provide Anaesthetics and Theatre staff",Long waiting General Surgery cases,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,5,NW8 9NH,51.53347,-0.17546,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Routine,Non-Cancer,Routine,Daycase,130: Ophthalmology,,Service will be staffed by NHS medical staff,Detailed under SOP ,,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,10,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Urgent,Cancer,Complex,Daycase,101: Urology,,Service will be staffed by NHS medical staff,alternate week focal therapy/ alternate week GA cystoscopy + biopsy,1 list total per week for activity ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,4,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Urgent,Cancer,Complex,Elective,101: Urology,,Service will be staffed by NHS medical staff,robotic prostate list,1 list total per week for activity ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,2,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Urgent,Cancer,Complex,Daycase,101: Urology,,Service will be staffed by NHS medical staff,urology patients on diagnostic pathway mixed with some benign cases (marked as unknown as will be mix of two),1 list total per week for activity ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,3,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Urgent,Unknown,Complex,Elective,101: Urology,,Service will be staffed by NHS medical staff,urology patients on diagnostic pathway mixed with some benign cases (marked as unknown as will be mix of two),1 list total per week for activity ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,3,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Routine,Unknown,Routine,Daycase,101: Urology,,Service will be staffed by NHS medical staff,urology patients on diagnostic pathway mixed with some benign cases (marked as unknown as will be mix of two),1 list total per week for activity ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,6,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Urgent,Cancer,Complex,Elective,103: Breast surgery,,Service will be staffed by NHS medical staff,Breast cancer ,needs to be Monday - single list,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,0,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Urgent,Cancer,Complex,Elective,100: General surgery,,Service will be staffed by NHS medical staff,1 list per week - Endocrine Surgery patients having a parathyroidectomy.,1 list per week,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,2,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),Routine,Cancer,Complex,Daycase,502: Gynaecology,,Service will be staffed by NHS medical staff,8 lists per week as per current arrangement - mostly daycase patients on a cancer pathway,8 lists per week,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,15,W1G 6AA,51.52078,-0.15033,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Lister (HCA UK),Routine,Non-Cancer,Routine,Outpatients,330: Dermatology,,Service will be staffed by NHS medical staff,This is dependent on being allocated the required space at Sydney Street - currently all space allocated to Chel West,Biopsies,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,10,SW1W 8RH,51.48652,-0.1505,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The London Clinic (The London Clinic),Routine,Non-Cancer,Combination,Elective,361: Nephrology,,Service will be staffed by NHS medical staff,"Surgeon, Physician, Surgical Reg, Medical Reg supplied by NHS for live donor transplants.  1 Anaesthetist from London Clinic and 1 from NHS for operating time. Nurse Co-ordinator supplied by NHD for patient work up 2-days per week (Tues & Wed) ",Patient work up will continue during August but transplants will be reduced due to staffing.  Transplant numbers will vary per week based on patient needs.,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,2,W1G 6BW,51.52302,-0.15008,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Routine,Daycase,211: Paediatric urology,,Service will be staffed by NHS medical staff,"Surgeon provided by NHS, other theatre staff & anesthetist by IS",,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,0,W1W 5AH,51.52292,-0.14437,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Routine,Daycase,215: Paediatric ear nose and throat,,Service will be staffed by NHS medical staff,"Surgeon provided by NHS, other theatre staff & anesthetist by IS",,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,6,W1W 5AH,51.52292,-0.14437,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Routine,Daycase,171: Paediatric surgery,,Service will be staffed by NHS medical staff,"Surgeon provided by NHS, other theatre staff & anesthetist by IS",,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,0,W1W 5AH,51.52292,-0.14437,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),,,Please note Paed MRI under GA,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,6,W1W 5AH,51.52292,-0.14437,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Wellington Hospital (HCA UK),Routine,Non-Cancer,Complex,Elective,172: Cardiac surgery,,Service will be staffed by NHS medical staff,Detailed under SOP ,,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,3,NW8 9LE,51.53155,-0.17147,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Wellington Hospital (HCA UK),Routine,Non-Cancer,Combination,Elective,320: Cardiology,,Service will be staffed by NHS medical staff,Detailed under SOP ,,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17/08/2020,18,NW8 9LE,51.53155,-0.17147,2
